Datetime,Close,High,Low,Open,Volume
2025-03-17 13:30:00+00:00,479.2699890136719,479.6600036621094,479.20001220703125,479.6600036621094,1837803
2025-03-17 13:31:00+00:00,480.05230712890625,480.0849914550781,479.17999267578125,479.29998779296875,131255
2025-03-17 13:32:00+00:00,480.6234130859375,480.6499938964844,479.91009521484375,480.06500244140625,125797
2025-03-17 13:33:00+00:00,480.8649902,480.9599914550781,480.5,480.7099914550781,706118
2025-03-17 13:34:00+00:00,480.94000244140625,480.9899902,480.5530090332031,480.8765869140625,145193
2025-03-17 13:35:00+00:00,481.2267150878906,481.3236083984375,480.69000244140625,480.92999267578125,133955
2025-03-17 13:36:00+00:00,482.0804138183594,482.1199951171875,481.2099914550781,481.29998779296875,165247
2025-03-17 13:37:00+00:00,482.0150146484375,482.29998779296875,481.92999267578125,482.0799865722656,194324
2025-03-17 13:38:00+00:00,482.30499267578125,482.4700012207031,481.7650146484375,482.04998779296875,180306
2025-03-17 13:39:00+00:00,482.6099853515625,482.69000244140625,482.1199951171875,482.30499267578125,125349
2025-03-17 13:40:00+00:00,482.7699890136719,482.92999267578125,482.3800048828125,482.6300048828125,148531
2025-03-17 13:41:00+00:00,483.0299987792969,483.1400146484375,482.6120910644531,482.7600098,115189
2025-03-17 13:42:00+00:00,482.8500061035156,483.0400085449219,482.7699890136719,482.99810791015625,102128
2025-03-17 13:43:00+00:00,482.5198974609375,482.92999267578125,482.4100036621094,482.8399963378906,112150
2025-03-17 13:44:00+00:00,482.2799987792969,482.67999267578125,482.20001220703125,482.5199890136719,136389
2025-03-17 13:45:00+00:00,482.2336120605469,482.5492858886719,482.1437988,482.2650146484375,108831
2025-03-17 13:46:00+00:00,482.5596008300781,482.5899963378906,482.0903015136719,482.2699890136719,118673
2025-03-17 13:47:00+00:00,482.0111083984375,482.55999755859375,481.8800048828125,482.52630615234375,180144
2025-03-17 13:48:00+00:00,481.3139953613281,482.0400085449219,481.3139953613281,482,147387
